SA2_MAINCODE_2016	SA2_NAME_2016	PHN_CODE_2017	PHN_NAME_2017	RATIO	PERCENTAGE
505011074	Heathridge - Connolly	PHN501	Perth North	1	100
505011075	Hillarys	PHN501	Perth North	1	100
505011076	Iluka - Burns Beach	PHN501	Perth North	1	100
505011077	Joondalup - Edgewater	PHN501	Perth North	1	100
505011078	Kingsley	PHN501	Perth North	1	100
505011079	Mullaloo - Kallaroo	PHN501	Perth North	1	100
505011080	Ocean Reef	PHN501	Perth North	1	100
505011081	Padbury	PHN501	Perth North	1	100
505011082	Sorrento - Marmion	PHN501	Perth North	1	100
505011083	Woodvale	PHN501	Perth North	1	100
505021084	Balcatta - Hamersley	PHN501	Perth North	1	100
505021085	Balga - Mirrabooka	PHN501	Perth North	1	100
505021086	Dianella	PHN501	Perth North	1	100
505021087	Herdsman	PHN501	Perth North	1	100
505021088	Innaloo - Doubleview	PHN501	Perth North	1	100
505021089	Karrinyup - Gwelup - Carine	PHN501	Perth North	1	100
505021090	Nollamara - Westminster	PHN501	Perth North	1	100
505021091	Osborne Park Industrial	PHN501	Perth North	1	100
505021092	Scarborough	PHN501	Perth North	1	100
505021093	Stirling - Osborne Park	PHN501	Perth North	1	100
505021094	Trigg - North Beach - Watermans Bay	PHN501	Perth North	1	100
505021095	Tuart Hill - Joondanna	PHN501	Perth North	1	100
505021096	Wembley Downs - Churchlands - Woodlands	PHN501	Perth North	1	100
505021097	Yokine - Coolbinia - Menora	PHN501	Perth North	1	100
505031098	Alexander Heights - Koondoola	PHN501	Perth North	1	100
505031099	Butler - Merriwa - Ridgewood	PHN501	Perth North	1	100
505031100	Carramar	PHN501	Perth North	1	100
505031101	Clarkson	PHN501	Perth North	1	100
505031102	Girrawheen	PHN501	Perth North	1	100
505031103	Madeley - Darch - Landsdale	PHN501	Perth North	1	100
505031104	Marangaroo	PHN501	Perth North	1	100
505031105	Mindarie - Quinns Rocks - Jindalee	PHN501	Perth North	1	100
505031106	Neerabup National Park	PHN501	Perth North	1	100
505031107	Tapping - Ashby - Sinagra	PHN501	Perth North	1	100
505031108	Wanneroo	PHN501	Perth North	1	100
505031255	Alkimos - Eglinton	PHN501	Perth North	1	100
505031256	Carabooda - Pinjar	PHN501	Perth North	1	100
505031257	Two Rocks	PHN501	Perth North	1	100
505031258	Yanchep	PHN501	Perth North	1	100
506011110	Armadale - Wungong - Brookdale	PHN502	Perth South	1	100
506011111	Ashendon - Lesley	PHN502	Perth South	1	100
506011112	Camillo - Champion Lakes	PHN502	Perth South	1	100
506011113	Forrestdale - Harrisdale - Piara Waters	PHN502	Perth South	1	100
506011114	Kelmscott	PHN502	Perth South	1	100
506011115	Mount Nasura - Mount Richon - Bedfordale	PHN502	Perth South	1	100
506011116	Roleystone	PHN502	Perth South	1	100
506011117	Seville Grove	PHN502	Perth South	1	100
506021118	Belmont - Ascot - Redcliffe	PHN502	Perth South	1	99.9999999
506021119	East Victoria Park - Carlisle	PHN502	Perth South	1	100
506021120	Kewdale Commercial	PHN502	Perth South	1	100
506021121	Perth Airport	PHN502	Perth South	0.9999961	99.9996071
506021122	Rivervale - Kewdale - Cloverdale	PHN502	Perth South	1	100
506021123	Victoria Park - Lathlain - Burswood	PHN502	Perth South	1	100
506031124	Bentley - Wilson - St James	PHN502	Perth South	1	100
506031125	Canning Vale - West	PHN502	Perth South	1	100
506031126	Canning Vale Commercial	PHN502	Perth South	1	100
506031127	Cannington - Queens Park	PHN502	Perth South	1	100
506031128	Parkwood - Ferndale - Lynwood	PHN502	Perth South	1	100
506031129	Riverton - Shelley - Rossmoyne	PHN502	Perth South	1	100
506031130	Welshpool	PHN502	Perth South	1	100
506031131	Willetton	PHN502	Perth South	1	100
506041132	Beckenham - Kenwick - Langford	PHN502	Perth South	1	100
506041133	Canning Vale - East	PHN502	Perth South	1	100
506041134	Gosnells	PHN502	Perth South	1	100
506041135	Huntingdale - Southern River	PHN502	Perth South	1	100
506041136	Maddington - Orange Grove - Martin	PHN502	Perth South	1	100
506041137	Thornlie	PHN502	Perth South	1	100
506051138	Forrestfield - Wattle Grove	PHN501	Perth North	1	100
506051139	High Wycombe	PHN501	Perth North	1	100
506051140	Kalamunda - Maida Vale - Gooseberry Hill	PHN501	Perth North	1	100
506051141	Lesmurdie - Bickley - Carmel	PHN501	Perth North	1	100
506061142	Byford	PHN502	Perth South	1	100
506061143	Mundijong	PHN502	Perth South	1	100
506061144	Serpentine - Jarrahdale	PHN502	Perth South	1	100
506071145	Como	PHN502	Perth South	1	100
506071146	Manning - Waterford	PHN502	Perth South	1	100
506071147	South Perth - Kensington	PHN502	Perth South	1	100
507011148	Banjup	PHN502	Perth South	1	100
507011150	Bibra Industrial	PHN502	Perth South	1	100
507011151	Bibra Lake	PHN502	Perth South	1	100
507011152	Coogee	PHN502	Perth South	1	100
